header1
header2
SITE:	0	8.51469239e-06	0.118007104	111100000000000001001
SITE:	1	8.51469239e-06	0.118007104	000011111111111111110
SITE:	2	8.51469239e-06	0.118007104	000000000000000000110
SITE:	3	8.51469239e-06	0.118007104	111111110110000010000
SITE:	4	8.51469239e-06	0.118007104	011100001001110000111
SITE:	5	8.51469239e-06	0.118007104	000011110000000001000
SITE:	6	8.51469239e-06	0.118007104	000000000000000000011
SITE:	7	8.51469239e-06	0.118007104	011100000000000000000
SITE:	8	8.51469239e-06	0.118007104	000000000110111100000
SITE:	9	8.51469239e-06	0.118007104	000000001000000000001
SITE:	10	8.51469239e-06	0.118007104	000000001001110000000
SITE:	11	8.51469239e-06	0.118007104	101111101001110011100
SITE:	12	8.51469239e-06	0.118007104	100000010000001111010
SITE:	13	8.51469239e-06	0.118007104	010000000110000000001
SITE:	14	8.51469239e-06	0.118007104	111111111110111111110
